ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
114,131.09035736841196,122061.33579519951,C7H16S,-H(-)
115,132.03032161150497,290840.5908607021,C4H7NO4,-H(-)
116,132.92365763320706,12172.59837933884,C3H2S3,-H(-)
117,133.01565893716614,25250.01991267217,C5H10S2,-H(-)
118,133.03365564249435,15366.691303621352,C5H10O2S,-H(-)
119,133.05218232830077,43792.45379875171,C6H6N4,-H(-)
120,133.10140501615604,874.9727216594433,C10H14,-H(-)
121,134.02563525192542,3705.0486951622493,C7H5NO2,-H(-)
122,134.04733175515824,416045.584270248,C5H5N5,-H(-)
123,135.03031344206903,27935.084045243628,C4H8O5; C5H12S2; C5H4N4O,-H(-); -H(-); -H(-)
124,135.04527861261457,88545.82745437328,C8H8O2,-H(-)
125,135.0676775619275,41559.16156780141,C6H8N4,-H(-)
126,137.03557759130462,104398.02939303548,C6H6N2O2,-H(-)
127,138.06755357528607,219300.96968906035,C6H9N3O,-H(-)
128,139.0745637017648,13719.511284816199,C8H12O2,-H(-)
129,139.11339646638433,3210.162622600831,C9H16O,-H(-)
130,139.99550773808951,3093.680981687167,C2H8NO2PS,-H(-)
131,140.07167308155297,4207.816546412277,C7H11NO2,-H(-)
132,140.1079589820219,2099.8065593435913,C8H15NO,-H(-)
133,140.98726704783473,4242.277178362011,C2H6O5S,-H(-)
134,141.09119278144266,5815.57919992306,C8H14O2,-H(-)
135,142.06625170977517,48591.8875583827,C10H9N,-H(-)
136,142.9901887296697,3383.8857516901526,C6H5ClO2,-H(-)
137,143.03492409570427,12568.70736046832,C6H8O4,-H(-)
138,143.05018810129542,4260.852337753154,C10H8O,-H(-)
139,143.0610896407264,2402.0630081546333,C9H8N2,-H(-)
140,143.10776130190422,40206.58979063361,C8H16O2,-H(-)
141,143.12985452972296,1772.2766239462271,C6H16N4,-H(-)
142,144.03097053241663,1671.6578233602224,C5H7NO4,-H(-)
143,144.04557635786054,9097.868415435065,C9H7NO,-H(-)
144,144.0668050045846,5768.671217015325,C6H11NO3,-H(-)
145,144.08136630590306,2175.2447862101576,C10H11N,-H(-)
146,144.1031068139534,1725.9715835641236,C7H15NO2,-H(-)
147,145.01455658301455,2302.8286302542024,C5H6O5; C6H10S2,-H(-); -H(-)
148,145.0290860411668,4162.267228677309,C9H6O2,-H(-)
149,145.06191965570747,399804.3440472647,C5H10N2O3,-H(-)
150,145.0982192953767,338232.4322106105,C6H14N2O2,-H(-)
151,146.04598890388203,382760.9932559421,C5H9NO4,-H(-)
152,147.03028393505207,14229.44272626119,C5H8O5; C6H12S2,-H(-); -H(-)
153,147.06640276896923,16962.753881342007,C6H12O4,-H(-)
154,148.04394959813095,148357.98171036702,C5H11NO2S,-H(-)
155,149.00844652153344,3931.28962050028,C4H6O6,-H(-)
156,149.0249118392315,5564.903819748623,C8H6O3,-H(-)
157,149.04704024710043,18493.835542707526,C6H14S2; C6H6N4O,-H(-); -H(-)
158,149.06097722402882,25230.911736931823,C9H10O2,-H(-)
159,149.0973509642888,3757.043052930494,C10H14O,-H(-)
160,150.00220058273442,5577.501435179925,C7H5NOS,-H(-)
161,150.0422739625406,132656.56268216527,C5H5N5O,-H(-)
162,151.02616299102294,6501.347274611124,C5H4N4O2,-H(-)
163,151.11341515049065,3091.408498940914,C10H16O,-H(-)
164,151.98467017718173,4648.721114912957,C3H7NO2S2,-H(-)
165,152.0352516826541,8523.39455768014,C7H7NO3,-H(-)
166,152.07075613456934,5313.568744284554,C8H11NO2,-H(-)
167,152.08295655516076,6353.6104612752615,C7H11N3O,-H(-)
168,152.10792624223657,3845.074615830384,C9H15NO,-H(-)
169,152.98650233604872,3030.870214281352,C4H10S3,-H(-)
170,153.01912805487714,19434.312853159972,C7H6O4,-H(-)
171,153.056097710166,4890.059823060327,C8H10O3,-H(-)
172,153.09188910797383,24390.33649386676,C9H14O2,-H(-)
173,154.02696289448318,4564.926897326424,C3H10NO4P,-H(-)
174,154.06228300715284,642982.3589158402,C6H9N3O2,-H(-)
175,155.0100560486233,3116.9301052385986,C5H4N2O4,-H(-)
176,155.04666805932087,3834.055123496955,C6H8N2O3,-H(-)
177,155.07143637968602,24288.012599299454,C8H12O3,-H(-)
178,155.10688118286527,4064.1385876931604,C9H16O2,-H(-)
179,156.06716753587216,9699.13211685754,C7H11NO3,-H(-)
180,156.92607900972754,23334.542963406082,C2H6S4,-H(-)
181,157.05035632978846,7023.192287285856,C7H10O4,-H(-)
182,157.06514250550862,3312.950603410436,C11H10O,-H(-)
183,157.08703535590635,15335.53314831913,C8H14O3,-H(-)
184,157.12343022505337,54996.19819834709,C9H18O2,-H(-)
185,158.08217435451246,19290.241656957805,C7H13NO3,-H(-)
186,159.02935772334007,10017.973222422197,C6H8O5,-H(-)
187,159.0460924912604,6068.098653532305,C10H8O2,-H(-)
188,159.06577396222198,12841.38053121341,C7H12O4,-H(-)
189,159.08425382913165,5197.872766126194,C8H16OS,-H(-)
190,159.09290575632414,8142.1307966761915,C10H12N2,-H(-)
191,159.10262224231616,8179.329210798682,C8H16O3,-H(-)
192,159.11419300554752,2661.3632964434833,C7H16N2O2,-H(-)
193,160.0267352505293,88817.28626698896,C6H11NS2,-H(-)
194,160.06150656758675,8477.128517825897,C6H11NO4,-H(-)
195,160.1015682081059,1350.9720729578612,C10H13N2,-H(-)
