ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
45,101.06087049938816,14737.821503168043,-6.779938816237063e-05,C5H10O2,-H(-),Pentanoic acid,HMDB0000718; HMDB0000892; HMDB0002176; HMDB0030058; HMDB0031175; HMDB0031241; HMDB0031247; HMDB0031516; HMDB0032263; HMDB0033742; HMDB0033890; HMDB0034237; HMDB0039799; HMDB0040575; HMDB0041992; HMDB0059678; HMDB00718; HMDB00892; HMDB02176; HMDB30058; HMDB31175; HMDB31241; HMDB31247; HMDB31516; HMDB32263; HMDB33742; HMDB33890; HMDB34237; HMDB39799; HMDB40575; HMDB41992; HMDB59678,C00803; C08262; C18319,; CHEBI:1132558; CHEBI:137944; CHEBI:167460; CHEBI:17418; CHEBI:28484; CHEBI:32026; CHEBI:37070; CHEBI:38655; CHEBI:40116; CHEBI:45133; CHEBI:88514
46,102.03834396267703,2352.7586354575587,-5.0762677034299486e-05,C4H9NS,-H(-),(±)-2-Methylthiazolidine,HMDB0031682; HMDB31682,,
47,102.05606620314617,65391.07376432509,-1.4503146175570691e-05,C4H9NO2,-H(-),Aminobutanoic acid (ABA),HMDB0000112; HMDB0000452; HMDB0000650; HMDB0002166; HMDB0002299; HMDB0003911; HMDB00112; HMDB0031329; HMDB0031654; HMDB0038394; HMDB0041945; HMDB00452; HMDB00485; HMDB00581; HMDB00650; HMDB0094692; HMDB02166; HMDB02299; HMDB03911; HMDB05815; HMDB31329; HMDB31654; HMDB38394; HMDB41945; HMDB94692,C00334; C01205; C02261; C02356; C03284; C05145; C11735,; CHEBI:15620; CHEBI:16320; CHEBI:16865; CHEBI:17519; CHEBI:27389; CHEBI:28797; CHEBI:33094; CHEBI:35619; CHEBI:37081
48,103.00346801542483,5041.3587996561855,0.00021388457516025028,C3H4O4,-H(-),Hydroxypyruvate,HMDB0000691; HMDB0001352; HMDB00691; HMDB01352,C00168; C00383,CHEBI:30794; CHEBI:30841
49,103.02225412138742,4066.1608354303867,5.467861258523499e-05,C4H8OS,-H(-),S-Ethyl thioacetate,HMDB0031190; HMDB0031192; HMDB0031857; HMDB0031982; HMDB0040170; HMDB0041015; HMDB0112254; HMDB31190; HMDB31192; HMDB31857; HMDB31982; HMDB40170; HMDB41015,,; CHEBI:49017
50,103.03995878905957,26315.101696681842,0.00010851094042152454,C4H8O3,-H(-),Hydroxybutanoic acid,HMDB0000008; HMDB0000011; HMDB0000023; HMDB0000336; HMDB0000357; HMDB0000442; HMDB0000710; HMDB0000729; HMDB00008; HMDB00011; HMDB00023; HMDB0031212; HMDB00336; HMDB00357; HMDB00435; HMDB00442; HMDB0059748; HMDB00710; HMDB00729; HMDB00758; HMDB0126088; HMDB11597; HMDB31212; HMDB59748,C00989; C01089; C03197; C05984; C06001,; CHEBI:1148; CHEBI:17066; CHEBI:17290; CHEBI:20067; CHEBI:30830; CHEBI:37373; CHEBI:50129; CHEBI:741468
51,104.03551361900254,43759.146724094455,-0.00019731900255237633,C3H7NO3,-H(-),Serine,HMDB0000187; HMDB0003406; HMDB00187; HMDB00589; HMDB0062263; HMDB03406; HMDB62263,C00065; C00716; C00740,CHEBI:16523; CHEBI:17115; CHEBI:17822
52,105.01945523086881,8248.294820966235,-0.00012333086881710642,C3H6O4,-H(-),D-Glyceric acid,HMDB0000139; HMDB0006372; HMDB00139; HMDB0031818; HMDB06372; HMDB31818,C00258,; CHEBI:32398; CHEBI:33508; CHEBI:74324
53,105.03802297634077,8304.972097680531,-6.417634077138246e-05,C4H10OS,-H(-),3-(Methylthio)-1-propanol,HMDB0031716; HMDB0040185; HMDB0041475; HMDB31716; HMDB40185; HMDB41475,,; CHEBI:49019
54,105.07103654586044,922.9498618133966,-6.304586044336702e-05,C8H10,-H(-),m-Xylene,HMDB0059810; HMDB0059851; HMDB0059905; HMDB0059924; HMDB59810; HMDB59851; HMDB59905; HMDB59924,C06756; C07111; C07208; C07212,CHEBI:16101; CHEBI:27417; CHEBI:28063; CHEBI:28488
