ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,HMDB ids,KEGG ids,other ids
573,289.12353759593094,6026.270325999888,0.0010079040690698093,C17H18O3,.F(-),HMDB0130350,,
574,289.2184261432015,1491.7295310626266,-0.0011234432014930462,C19H30O2,-H(-),HMDB0000031; HMDB0000365; HMDB0000490; HMDB0000546; HMDB0002961; HMDB00031; HMDB0003818; HMDB0005849; HMDB0006770; HMDB00365; HMDB0037711; HMDB00490; HMDB00546; HMDB02961; HMDB03818; HMDB05849; HMDB06770; HMDB37711,C00523; C03917; C04295; C04373; C05293; C07635; C14210,; CHEBI:16032; CHEBI:16330; CHEBI:2710; CHEBI:28195; CHEBI:428206; CHEBI:428213; CHEBI:542034
574,289.2184261432015,1491.7295310626266,1.9356798532044195e-05,C16H30O3,.F(-),HMDB0030972; HMDB30972,,
575,289.2532235073108,878.4051914392617,0.000464592689240817,C20H34O,-H(-),HMDB0035083; HMDB0035276; HMDB0036723; HMDB0036834; HMDB0039827; HMDB35083; HMDB35276; HMDB36723; HMDB36834; HMDB39827,,
576,290.1240217413924,2142.7811348874147,0.0013713586075709827,C13H25NO2S2,-H(-),HMDB0006867; HMDB06867,C05119,CHEBI:27462
576,290.1240217413924,2142.7811348874147,0.0008256707169493893,C16H20ClN3,-H(-) [+2],HMDB0015690; HMDB15690,,; CHEBI:768237
577,290.17565010778884,1511.8320282537798,0.0005161922111938111,C17H25NO3,-H(-),HMDB0015114; HMDB0015341; HMDB0036327; HMDB15114; HMDB15341; HMDB36327,C06932; C07914,; CHEBI:4024; CHEBI:6438
577,290.17565010778884,1511.8320282537798,-0.0014862894294651596,C20H22N2,-H(-) [+1],HMDB0014857; HMDB14857,C07774,CHEBI:2946
578,291.02100260331946,3170.047032813625,0.00017569668057149102,C10H13ClN2O4S,-H(-),HMDB0014024; HMDB0014025; HMDB14024; HMDB14025,,
578,291.02100260331946,3170.047032813625,0.00011529668051935005,C11H14N2O3S,.K/H-H(-),HMDB0060559; HMDB60559,,
579,291.07041702872226,4420.506017791562,-0.0007644287222206003,C15H16O4S,-H(-),HMDB0135230; HMDB0135553; HMDB0135583; HMDB0135585,,
580,291.09806249736585,9965.767308997792,0.0005820026341325502,C14H16N2O5,-H(-),HMDB0041309; HMDB41309,,
581,291.1069328328511,7828.891664580996,0.0016074671489150205,C12H20O8,-H(-),HMDB0041269; HMDB41269,,
582,291.1241290336326,6668.190192948519,-0.00033253363255880686,C16H20O5,-H(-),HMDB0030767; HMDB0037774; HMDB0037775; HMDB0094645; HMDB30767; HMDB37774; HMDB37775; HMDB94645,,; CHEBI:110179; CHEBI:132606
583,291.1977256450098,3270.887718051371,-0.0011583450097987225,C18H28O3,-H(-),HMDB0030996; HMDB0038035; HMDB0040806; HMDB30996; HMDB38035; HMDB40806,C16320,; CHEBI:60959
583,291.1977256450098,3270.887718051371,-1.5545009830475465e-05,C15H28O4,.F(-),HMDB0035918; HMDB35918,,
584,291.2326940230203,1765.7548752683435,0.0002586769796835142,C19H32O2,-H(-),HMDB0000369; HMDB0000383; HMDB0000412; HMDB0000458; HMDB0000493; HMDB0000495; HMDB0000551; HMDB0000554; HMDB00369; HMDB00383; HMDB00412; HMDB00458; HMDB00493; HMDB00495; HMDB00551; HMDB00554; HMDB0060437; HMDB60437,C03852; C07632; C12525,; CHEBI:18329; CHEBI:27727; CHEBI:36713; CHEBI:36714; CHEBI:36715; CHEBI:428186
585,292.14029966399806,11678.818514534234,-0.0001249639980756001,C12H23NO7,-H(-),HMDB0037840; HMDB0039780; HMDB37840; HMDB39780,,
586,292.15630094796154,3412.514992348633,0.00046755203845805227,C17H19N5,-H(-),HMDB0015348; HMDB15348,C08159,CHEBI:2704
587,292.19264270672033,1469.9986356484658,-0.0008264067203072045,C17H27NO3,-H(-),HMDB0029846; HMDB0036328; HMDB29846; HMDB36328,C20216,; CHEBI:46936
588,293.10426177440894,5307.18806713972,-0.0012006744089489985,C15H18O6,-H(-),HMDB0039825; HMDB39825,,
