sample_col_name,group_label,batch_id,merged_sample_id,sample_type
226,0,3,bioheart::209,formal_or_unknown
230,0,3,bioheart::210,formal_or_unknown
231,0,3,bioheart::211,formal_or_unknown
233,1,3,bioheart::212,formal_or_unknown
234,1,3,bioheart::213,formal_or_unknown
236,1,3,bioheart::214,formal_or_unknown
Pool,QC,3,bioheart::215,qc
237,0,3,bioheart::216,formal_or_unknown
238,0,3,bioheart::217,formal_or_unknown
239,0,3,bioheart::218,formal_or_unknown
240,0,3,bioheart::219,formal_or_unknown
241,1,3,bioheart::220,formal_or_unknown
242,0,3,bioheart::221,formal_or_unknown
243,0,3,bioheart::222,formal_or_unknown
233,1,3,bioheart::223,formal_or_unknown
244,1,3,bioheart::224,formal_or_unknown
245,0,3,bioheart::225,formal_or_unknown
Pool,QC,3,bioheart::226,qc
246,1,3,bioheart::227,formal_or_unknown
243,0,3,bioheart::228,formal_or_unknown
247,1,3,bioheart::229,formal_or_unknown
248,0,3,bioheart::230,formal_or_unknown
249,1,3,bioheart::231,formal_or_unknown
250,1,3,bioheart::232,formal_or_unknown
251,0,3,bioheart::233,formal_or_unknown
252,0,3,bioheart::234,formal_or_unknown
253,0,3,bioheart::235,formal_or_unknown
254,0,3,bioheart::236,formal_or_unknown
Pool,QC,3,bioheart::237,qc
255,0,3,bioheart::238,formal_or_unknown
256,0,3,bioheart::239,formal_or_unknown
257,0,3,bioheart::240,formal_or_unknown
258,0,3,bioheart::241,formal_or_unknown
259,1,3,bioheart::242,formal_or_unknown
260,0,3,bioheart::243,formal_or_unknown
261,0,3,bioheart::244,formal_or_unknown
262,1,3,bioheart::245,formal_or_unknown
263,1,3,bioheart::246,formal_or_unknown
Pool,QC,3,bioheart::247,qc
264,0,3,bioheart::248,formal_or_unknown
257,0,3,bioheart::249,formal_or_unknown
265,1,3,bioheart::250,formal_or_unknown
267,1,3,bioheart::251,formal_or_unknown
269,1,3,bioheart::252,formal_or_unknown
270,1,3,bioheart::253,formal_or_unknown
Pool,QC,3,bioheart::254,qc
Pool,QC,4,bioheart::255,qc
Pool,QC,4,bioheart::256,qc
Pool,QC,4,bioheart::257,qc
271,1,4,bioheart::258,formal_or_unknown
272,0,4,bioheart::259,formal_or_unknown
273,1,4,bioheart::260,formal_or_unknown
274,0,4,bioheart::261,formal_or_unknown
212,1,4,bioheart::262,formal_or_unknown
240,0,4,bioheart::263,formal_or_unknown
231,0,4,bioheart::264,formal_or_unknown
245,0,4,bioheart::265,formal_or_unknown
256,0,4,bioheart::266,formal_or_unknown
267,1,4,bioheart::267,formal_or_unknown
275,0,4,bioheart::268,formal_or_unknown
276,0,4,bioheart::269,formal_or_unknown
277,1,4,bioheart::270,formal_or_unknown
278,0,4,bioheart::271,formal_or_unknown
Pool,QC,4,bioheart::272,qc
280,0,4,bioheart::273,formal_or_unknown
281,0,4,bioheart::274,formal_or_unknown
282,1,4,bioheart::275,formal_or_unknown
283,0,4,bioheart::276,formal_or_unknown
277,1,4,bioheart::277,formal_or_unknown
284,0,4,bioheart::278,formal_or_unknown
285,1,4,bioheart::279,formal_or_unknown
286,0,4,bioheart::280,formal_or_unknown
287,0,4,bioheart::281,formal_or_unknown
288,1,4,bioheart::282,formal_or_unknown
Pool,QC,4,bioheart::283,qc
289,0,4,bioheart::284,formal_or_unknown
290,0,4,bioheart::285,formal_or_unknown
292,1,4,bioheart::286,formal_or_unknown
293,0,4,bioheart::287,formal_or_unknown
294,0,4,bioheart::288,formal_or_unknown
