sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
087 / P1_Bio_0512,87,20200306_ecoli_4GHz_0087.d,20200320153613481-2492417,20200306_Plate1_039,P1_Bio_0512,P001:113 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0512
088 / P1_Bio_0512,88,20200306_ecoli_4GHz_0088.d,20200320153614555-2492418,20200306_Plate1_039,P1_Bio_0512,P001:114 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0512
089 / P1_Bio_0512,89,20200306_ecoli_4GHz_0089.d,20200320153615713-2492419,20200306_Plate1_039,P1_Bio_0512,P001:115 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0512
090 / water,90,20200306_ecoli_4GHz_0090.d,20200320153616947-2492420,ctrl_p01_c2,water,P001:117 seq1 control,water,Batch7_0306 DATA,water
091 / P1_Full_1024,91,20200306_ecoli_4GHz_0091.d,20200320153617966-2492421,20200306_Plate1_026,P1_Full_1024,P001:118 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_1024
092 / P1_Full_1024,92,20200306_ecoli_4GHz_0092.d,20200320153618994-2492422,20200306_Plate1_026,P1_Full_1024,P001:119 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_1024
093 / P1_Full_1024,93,20200306_ecoli_4GHz_0093.d,20200320153620035-2492423,20200306_Plate1_026,P1_Full_1024,P001:120 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_1024
094 / P1_Full_0002,94,20200306_ecoli_4GHz_0094.d,20200320153621098-2492424,20200306_Plate1_016,P1_Full_0002,P001:123 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0002
095 / P1_Full_0002,95,20200306_ecoli_4GHz_0095.d,20200320153622175-2492425,20200306_Plate1_016,P1_Full_0002,P001:124 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0002
096 / P1_Full_0002,96,20200306_ecoli_4GHz_0096.d,20200320153623287-2492426,20200306_Plate1_016,P1_Full_0002,P001:125 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0002
097 / water,97,20200306_ecoli_4GHz_0097.d,20200320153624291-2492427,ctrl_p01_c1,water,P001:126 seq1 control,water,Batch7_0306 DATA,water
098 / water,98,20200306_ecoli_4GHz_0098.d,20200320153625318-2492428,ctrl_p01_c2,water,P001:127 seq1 control,water,Batch7_0306 DATA,water
